id,name,description,price,promo_price,image_file,is_featured,category_id,installment_info,colors,models
49,Caixa Som Bluetooth Portátil Amplificada 600W Rms Bateria Potente Amvox Aca 600 Bagvox,"O que você precisa saber sobre este produto
É mãos livres.
Possui conectividade Bluetooth.
Possui luzes LED.
Bateria recarregável.
Potência de 600W.
Quantidade de alto-falantes: 2.
A duração da bateria depende do uso que se dê ao produto.
2 ALTO-FALANTES DE 6,5""",699.90,499.90,6f25ec42e04294ee,False,10,"18x de 27,72 ",Preto,
46,Smartphone Infinix Smart 10 4gb Ram 256gb Câmera 8mp + Ia,"Tela LCD IPS de 6.67"".
Câmera frontal de 8Mpx.
Processador Unisoc Octa-Core de 1.8GHz com 256GB de RAM.
Bateria de 5 Ah.
Memória interna de 4GB.
Resistente à água.
Com reconhecimento facial e sensor de impressão digital.
Resistente a poeira e as quedas.",999.90,799.90,bd8f3ecf2971c8c4,False,11,,,
47,Smartphone Motorola Moto E15 64gb 4gb Ram,"O que você precisa saber:

Memoria Interna 64 GB Memoria
Memoria Ram 4 GB sendo (2 GB Fisica + 2 GB Virtual)
Tela 6.67 Polegadas - 720 x 1612 pixel
Processador - Helio G81 Extreme MediaTek - 2x 2.0 GHz Cortex-A75 + 6x 1.7 GHz Cortex-A55
Camera Traseira 32 Megapixel
Camera Fronta 8 Megapixel
Bateria 5200 mAh
Rede 4G
Suporta até 64 GB Memória Expansível
Android 14
O aparelho acompanha capinha, cabo e carregador!",899.90,629.90,78fdf18688bc68bd,False,11,,,
72,Celular Realme Note 60x Dual Sim 64 Gb 4 Gb de Ram,"-Tela: IPS LCD de 6,74 polegadas com resolução HD+ (1600 x 720 pixels) e taxa de -atualização de 90 Hz. 
-Processador: Tiger T612. 
-RAM/Armazenamento: Opções de 3/64 GB e 4/128 GB. 
-Câmera: Câmera traseira de 32 MP e câmera frontal de 5 MP. 
-Bateria: 5.000mAh. ",929.90,629.90,1b865188de23f5c9,False,11,"18X 34,99",,
48,Motorola G35 5g 256gb 8gb Ram,"O que você precisa saber:

Memória interna 256 GB
Memória RAM 8 GB
Modelo do processador Unisoc T700
Velocidade do processador 2,2 GHz
Rede móvel 5G
É Dual SIM 
Quantidade de eSIMs1
",1599.90,1299.90,93a4bca82386cedf,False,11,"18x de 72,21",,
73,Tablet Xiaomi Redmi Pad Se 128gb/4gb Ram Wi-fi Global,"-Tela: IPS LCD de 11 polegadas, resolução Full HD+ de 1920 x 1200 pixels, taxa de atualização de 90 Hz
-Processador: Qualcomm Snapdragon 680
-Memória RAM: 4 GB
-Armazenamento: 128 GB, expansível até 1TB
-Câmera traseira: 8 MP (foco automático) frontal: 5 MP
-Dimensões: 255,5 x 167,1 x 7,4 mm
-Peso: 478 g",1399.90,1199.90,08d0d93d9a05ffe0,False,11,"18X 66,66",,
52,"Amvox Caixa de Som Amplificada ACA 150 POP – 150W RMS, Bluetooth, Iluminação LED, Rádio FM","-Som de Qualidade: Potência de 150W RMS para um áudio nítido e potente em qualquer ambiente
-Conexão Sem Fios: Conecte facilmente via Bluetooth e leve suas músicas favoritas onde for
-Iluminação LED: Adicione ainda mais energia à sua festa com iluminação vibrante em LED
-Bateria Longa Duração: Aproveite até 4 horas de música contínua, sem precisar se preocupar com a recarga
",299.90,219.90,80e422223841ecbf,False,10,,,
51,Caixa Amplificada Amvox Aca 1900 Newx 1900w Rms Led,"-Tipo de alto-falante: woofer.
-Adequado para uso ao ar livre.
-Possui conectividade Bluetooth.
-Possui luzes LED.
-Resposta mínima de frequência de 20Hz e máxima de 15kHz.
-Potência de 1.9kW.
-Vem com um microfone de acessório.
-Conector de entrada: USB.
-Quantidade de alto-falantes: 3.
-Lugar de colocação: o piso.
-Dimensões: 45cm de largura, 1.12m de altura e 38cm de profundidade.",1699.90,1599.90,9af0e8d05c3bc5a1,False,10,"18x de 88,88",Preto,
50,Realme C61 Nfc 128gb 4gb Ram Cam 50mp Tela 6.74 - Ip54 Cor Dark Green Realme C61 Nfc 128gb 4gb Ram ,"O que você precisa saber:

Memoria Interna 128 GB
Memoria Ram 12 GB sendo (4 GB Fisica + 8 GB Virtual)
Tela 6.74 Polegadas IPS LCD 90 Hz
Processador T612 Unisoc
2x 1.8 GHz Cortex-A75 + 6x 1.8 GHz Cortex-A55
Camera Traseira 50 MP
Camera Frontal 5 MP
Bateria 5000 mAh
Android 14",1129.90,949.90,5524bb86a53d1051,False,11,,,
75,Samsung Galaxy A15 4g 128gb 4gb Ram,"-Tela AMOLED de 6.496"".
-Tem 3 câmeras traseiras de 50Mpx/5Mpx/2Mpx.
-Câmeras frontais de 13.0 MP.
-Bateria de 5000mAh.
-Memória interna de 128GB.
-Com reconhecimento facial e sensor de impressão digital.",1399.90,1099.90,3972d20bce850451,False,11,"18x 61,00",,
