id,name,description,price,promo_price,image_file,is_featured,category_name
3,Carregador SmartGo Elite Pro USB-C,"Modelo:
•	Marca: SmartGo
•	Linha: Elite Pro Adapter

Portas e Conectividade:
•	Total de Saídas: 1
•	Tipo de Porta: USB-C (Tipo-C)

Potência e Carregamento:
•	Potência Total: 20W (Vinte Watts)
•	Tecnologia: Power Delivery (PD)
•	Carregamento: Carregador Turbo

Entrada:
•	Tensão: Bivolt (100-240V) - Pode ser usado em qualquer tomada no Brasil.
•	Padrão do Plugue: Padrão brasileiro de 2 pinos redondos.

Segurança e Garantia:
•	Proteções: Circuito inteligente com proteção contra sobrecarga, curto-circuito e superaquecimento.
•	Garantia: 10 anos (conforme indicado na embalagem).
",1.00,1.00,a5044f8531ff959b.jpg,False,Carregadores
4,Cabo SmartGo Elite Pro USB-C para USB-C,"Modelo:
•	Marca: SmartGo
•	Linha: Elite Pro Cable

Conectividade:
•	Tipo de Conector: USB-C para USB-C (ambas as pontas)

Desempenho e Carregamento:
•	Potência Máxima: 100W (Cem Watts)
•	Tecnologia: Turbo Plus / Power Delivery (PD) 3.0

•	Velocidade de Transferência de Dados: Suporta altas velocidades (geralmente 480Mbps).

Construção e Design:
•	Comprimento: 1.5 metros
•	Material: Cabo revestido com malha de nylon trançado para maior durabilidade e resistência a nós.
•	Conectores: Pontas de metal (alumínio) para melhor dissipação de calor e maior vida útil.


Segurança e Garantia:
•	Chip de Segurança: Chip E-Marker integrado para negociação segura de alta potência, protegendo os dispositivos contra sobrecarga.
•	Garantia: 12 meses contra defeitos de fabricação (9 meses de garantia contratual junto ao fabricante + 3 meses referentes à garantia legal).

",1.00,,0e254983f8d6104a.jpg,True,Cabos
5,Carregador SmartGo Elite Pro USB + USB-C,"Modelo:
•	Marca: SmartGo
•	Linha: Elite Pro Adapter

Portas e Conectividade:
•	Porta 1: USB-C (Tipo-C)
•	Porta 2: USB-A (Padrão)
•	Total de Saídas: 2 (permite carregar dois dispositivos simultaneamente)

Potência e Carregamento:
•	Potência Total: 20W (Vinte Watts)
•	Tecnologia USB-C: Power Delivery (PD) - 
Otimizada para carregamento rápido de iPhones, iPads e dispositivos Android compatíveis.
•	Tecnologia USB-A: Carregamento Turbo - Compatível com protocolos de carregamento rápido como Quick Charge (QC).

Entrada:
•	Tensão: Bivolt (100-240V) - Pode ser usado em qualquer tomada no Brasil.
•	Padrão do Plugue: Padrão brasileiro de 2 pinos redondos.

Segurança e Garantia:
•	Proteções: Circuito inteligente com proteção contra sobrecarga, curto-circuito e superaquecimento.
•	Garantia: 10 anos (conforme indicado na embalagem).

",1.00,,942308167a08046c.jpg,False,Carregadores
6,Carregador SmartGo Elite Pro USB-A ,"Modelo:
•	Marca: SmartGo
•	Linha: Smart Force Adapter

Portas e Conectividade:
•	Portas: 2x USB-A (Padrão)
•	Total de Saídas: 2 (permite carregar dois dispositivos simultaneamente)

Potência e Carregamento:
•	Potência Total: 15W (Quinze Watts)
•	Tecnologia: Carregamento Turbo / Fast Charger - Distribui a potência de forma inteligente entre as duas portas para otimizar o tempo de recarga.

Entrada:
•	Tensão: Bivolt (100-240V) - Pode ser usado em qualquer tomada no Brasil.
•	Padrão do Plugue: Padrão brasileiro de 2 pinos redondos.

Segurança e Garantia:
•	Proteções: Circuito com proteção contra sobrecarga e curto-circuito.
•	Garantia: 1 ano (conforme indicado na embalagem).

",1.00,,cb40d87254e30a1a.jpg,False,Cabos
7,Cabo Turbo Elite Pro USB para USB-C,"Modelo:
•	Marca: SmartGo
•	Linha: Elite Pro Cable

Conectividade:
•	Conector 1: USB-A (Tradicional)
•	Conector 2: USB-C (Reversível)

Desempenho e Carregamento:
•	Potência Máxima: 100W (Cem Watts) - Nota: Atinge esta potência quando ligado a carregadores e dispositivos compatíveis com tecnologias de carregamento rápido específicas, como o Turbo Plus.
•	Tecnologia: Turbo Plus / Suporte a Quick Charge (QC) e outros protocolos de carregamento rápido via USB-A.
•	Velocidade de Transferência de Dados: Suporta USB 2.0 (até 480Mbps).

Construção e Design:
•	Comprimento: 1.5 metros
•	Material: Cabo revestido com malha de nylon trançado para maior durabilidade.
•	Conectores: Pontas de metal (alumínio) para maior resistência e dissipação de calor.

Segurança e Garantia:
•	Proteções: Construído para suportar alta corrente de forma segura.
•	Garantia: 10 anos (conforme indicado na embalagem).
",1.00,,9419f54d137d22fb.jpg,False,Cabos
8,Cabo SmartGo Elite Pro USB-A para Lightning,"Modelo:
•	Marca: SmartGo
•	Linha: Elite Pro Cable

Conectividade:
•	Conector 1: USB-A (Tradicional)
•	Conector 2: Lightning (Padrão Apple)

Desempenho e Carregamento:
•	Potência Máxima: 27W (Vinte e sete Watts) - Nota: Atinge esta potência quando ligado a carregadores e iPhones compatíveis com carregamento rápido.
•	Tecnologia: Turbo Plus / Suporte a carregamento rápido para iPhones.
•	Velocidade de Transferência de Dados: Suporta USB 2.0 (até 480Mbps).

Construção e Design:
•	Comprimento: 1.5 metros
•	Material: Cabo revestido com malha de nylon trançado para maior durabilidade.
•	Conectores: Pontas de metal (alumínio) para maior resistência e dissipação de calor.

Segurança e Garantia:
•	Certificação MFi (Made for iPhone/iPad/iPod): Geralmente, cabos de alta qualidade como este possuem certificação MFi, que garante total compatibilidade e segurança com dispositivos Apple.
•	Garantia: 10 anos (conforme indicado na embalagem).

",1.00,,f0bb88bd11581d83.jpg,False,Cabos
9,Fone AURAFIT - AuraBuds X5L - Preto,"Experimente a imersão sonora total com os AuraBuds X5L. Projetados para o máximo conforto e cancelamento de ruído ativo (ANC), eles são perfeitos para o dia a dia, seja no trabalho, no transporte ou em casa. Sinta cada batida da sua música favorita sem interrupções do mundo exterior.

Especificações Técnicas:
•	Modelo: AuraBuds X5L
•	Marca: AURAFIT
•	Tipo: Intra-auricular (In-Ear) com pontas de silicone
•	Conectividade: Bluetooth 5.3 (conexão mais estável e menor consumo de energia)
•	Cancelamento de Ruído: Sim, Cancelamento de Ruído Ativo (ANC) e Modo Transparência.
•	Drivers: Drivers dinâmicos de 10mm para graves potentes e agudos cristalinos.
•	Bateria:
o	Fones: Até 6 horas de reprodução (com ANC desligado).
o	Case de Carregamento: Fornece mais 3-4 cargas completas (total de ~24 horas).
•	Resistência: IPX4 (resistente a suor e respingos d'água).
•	Controles: Controles de toque (Play/Pause, atender chamadas, controlar volume, ativar ANC).
•	Carregamento: Porta USB-C.
",1.00,,9cb658ae1cfe8da2.jpeg,True,Fone de Ouvido
10,Fone AURAFIT - AuraBuds X5L - Branco,"Experimente a imersão sonora total com os AuraBuds X5L. Projetados para o máximo conforto e cancelamento de ruído ativo (ANC), eles são perfeitos para o dia a dia, seja no trabalho, no transporte ou em casa. Sinta cada batida da sua música favorita sem interrupções do mundo exterior.

Especificações Técnicas:
•	Modelo: AuraBuds X5L
•	Marca: AURAFIT
•	Tipo: Intra-auricular (In-Ear) com pontas de silicone
•	Conectividade: Bluetooth 5.3 (conexão mais estável e menor consumo de energia)
•	Cancelamento de Ruído: Sim, Cancelamento de Ruído Ativo (ANC) e Modo Transparência.
•	Drivers: Drivers dinâmicos de 10mm para graves potentes e agudos cristalinos.
•	Bateria:
o	Fones: Até 6 horas de reprodução (com ANC desligado).
o	Case de Carregamento: Fornece mais 3-4 cargas completas (total de ~24 horas).
•	Resistência: IPX4 (resistente a suor e respingos d'água).
•	Controles: Controles de toque (Play/Pause, atender chamadas, controlar volume, ativar ANC).
•	Carregamento: Porta USB-C.


",1.00,,4bc0b7919175c9fa.jpeg,False,Fone de Ouvido
11,Fone AURAFIT - AuraBuds X6 Esportivo - Preto,"Liberdade e segurança para seus treinos. Os AuraBuds X6 foram criados para atletas e pessoas ativas. Com seu design de orelha aberta e condução aérea, eles não entram no seu ouvido, permitindo que você ouça suas músicas e podcasts sem se desconectar do mundo ao seu redor. O encaixe seguro garante que eles permaneçam no lugar, não importa a intensidade do seu movimento.

Especificações Técnicas:
•	Modelo: AuraBuds X6
•	Marca: AURAFIT
•	Tipo: Orelha Aberta (Open-Ear) com gancho de fixação.
•	Conectividade: Bluetooth 5.3
•	Tecnologia de Áudio: Condução Aérea (direciona o som para o ouvido sem bloquear o canal auditivo).
•	Drivers: Drivers de 16.2mm otimizados para um som claro e potente ao ar livre.
•	Bateria:
o	Fones: Até 8 horas de reprodução contínua.
o	Case de Carregamento: Fornece mais 2-3 cargas completas (total de ~30 horas).
•	Resistência: IPX5 (resistente a suor e jatos d'água leves, ideal para corridas e treinos intensos).
•	Controles: Botão físico ou área de toque para fácil acesso durante a atividade física.
•	Carregamento: Porta USB-C.
",1.00,1.00,2106f5e34295a52b.jpeg,False,Fone de Ouvido
12,Fone AURAFIT - AuraBuds X6 Esportivo - Branco ,"Liberdade e segurança para seus treinos. Os AuraBuds X6 foram criados para atletas e pessoas ativas. Com seu design de orelha aberta e condução aérea, eles não entram no seu ouvido, permitindo que você ouça suas músicas e podcasts sem se desconectar do mundo ao seu redor. O encaixe seguro garante que eles permaneçam no lugar, não importa a intensidade do seu movimento.

Especificações Técnicas:
•	Modelo: AuraBuds X6
•	Marca: AURAFIT
•	Tipo: Orelha Aberta (Open-Ear) com gancho de fixação.
•	Conectividade: Bluetooth 5.3
•	Tecnologia de Áudio: Condução Aérea (direciona o som para o ouvido sem bloquear o canal auditivo).
•	Drivers: Drivers de 16.2mm otimizados para um som claro e potente ao ar livre.
•	Bateria:
o	Fones: Até 8 horas de reprodução contínua.
o	Case de Carregamento: Fornece mais 2-3 cargas completas (total de ~30 horas).
•	Resistência: IPX5 (resistente a suor e jatos d'água leves, ideal para corridas e treinos intensos).
•	Controles: Botão físico ou área de toque para fácil acesso durante a atividade física.
•	Carregamento: Porta USB-C.
",1.00,1.00,333a7ee6eb8757ab.jpeg,True,Fone de Ouvido
